DC Offset	Amplitude	Zfreq	Zreal	Zimag	Zphz	Zmod
0.450000	0.001500	1.266892	0.005770	-0.080840	-85.917633	0.081046	
0.450000	0.001500	1.120875	0.006536	-0.091150	-85.898804	0.091384	
0.450000	0.001500	0.999041	0.007110	-0.102121	-86.017044	0.102368	
0.450000	0.001500	0.883767	0.008171	-0.113998	-85.900261	0.114290	
0.450000	0.001500	0.794492	0.008151	-0.129637	-86.402428	0.129893	
0.450000	0.001500	0.710227	0.012111	-0.140894	-85.087219	0.141414	
0.450000	0.001500	0.633446	0.012694	-0.158165	-85.411324	0.158674	
0.450000	0.001500	0.564759	0.013932	-0.176692	-85.491730	0.177240	
0.450000	0.001500	0.504032	0.015956	-0.197826	-85.388618	0.198468	
0.450000	0.001500	0.446429	0.018495	-0.221605	-85.229073	0.222375	
0.450000	0.001500	0.397246	0.021109	-0.247614	-85.127449	0.248512	
0.450000	0.001500	0.355114	0.023912	-0.275367	-85.037033	0.276403	
0.450000	0.001500	0.316723	0.025905	-0.306897	-85.175110	0.307988	
0.450000	0.001500	0.282380	0.031559	-0.342871	-84.741066	0.344320	
0.450000	0.001500	0.250668	0.035936	-0.382499	-84.632835	0.384183	
0.450000	0.001500	0.224282	0.044266	-0.425737	-84.063980	0.428032	
0.450000	0.001500	0.199468	0.046046	-0.477258	-84.489136	0.479474	
0.450000	0.001500	0.177557	0.057643	-0.531596	-83.811378	0.534712	
0.450000	0.001500	0.158361	0.088219	-0.644749	-82.208748	0.650756	
0.450000	0.001500	0.141190	0.058793	-0.667585	-84.967010	0.670169	
0.450000	0.001500	0.125670	0.080594	-0.736184	-83.752426	0.740582	
0.450000	0.001500	0.112141	0.092416	-0.818359	-83.556984	0.823561	
